Year,Region,Temperature,Secchi,Salinity
1975,Confluence,14.86884402,40.49477623,0.147507152
1976,Confluence,16.51216639,49.38859235,1.352943509
1977,Confluence,16.45850949,48.02876073,3.488565069
1978,Confluence,16.53081455,32.16388202,0.66035804
1979,Confluence,16.58930741,36.87328622,0.668978748
1980,Confluence,16.043705,40.12563093,0.267004977
1981,Confluence,16.96231277,39.27137109,1.012493809
1982,Confluence,15.66903204,44.06619729,0.104257465
1983,Confluence,15.96099285,45.38707646,0.084162958
1984,Confluence,16.62556004,54.61777146,0.239858204
1985,Confluence,15.94195148,61.42101782,0.910771523
1986,Confluence,16.18797608,40.78399582,0.554176747
1987,Confluence,16.68403645,52.03753679,1.509861072
1988,Confluence,16.55983403,48.10823732,1.850978895
1989,Confluence,16.35447834,49.61403573,1.464461425
1990,Confluence,16.76776356,55.75834522,1.795362327
1991,Confluence,15.99745722,57.72661099,1.985894012
1992,Confluence,17.19345327,63.26525764,1.946998341
1993,Confluence,16.14737373,49.34549828,0.653501152
1994,Confluence,16.20210869,57.28536512,1.128747682
1995,Confluence,15.88275791,51.31575856,0.471311123
1996,Confluence,16.54887837,54.60869511,0.397590122
1997,Confluence,16.67144173,43.01865154,0.53502708
1998,Confluence,15.73319007,42.9377535,0.218976114
1999,Confluence,15.22190082,47.06799053,0.593551909
2000,Confluence,15.94760011,47.72467771,0.652883282
2001,Confluence,16.10304962,45.99874951,1.364586998
2002,Confluence,16.08399511,42.82631954,0.871025955
2003,Confluence,16.37533436,49.00305566,0.731173693
2004,Confluence,16.44014403,51.77650917,0.811733242
2005,Confluence,16.23423451,57.93995562,0.642008729
2006,Confluence,15.89899428,57.12882933,0.470383682
2007,Confluence,16.0728822,67.99187244,0.926033707
2008,Confluence,15.81355669,55.49284673,1.160433714
2009,Confluence,16.09148763,67.50204582,1.183769563
2010,Confluence,15.68514431,68.27136681,0.922359965
2011,Confluence,15.45107201,77.25446513,0.264844995
2012,Confluence,16.11782096,71.71101532,0.966002342
2013,Confluence,16.39109931,60.48562891,0.930864417
2014,Confluence,17.168347,71.0957639,1.998732031
2015,Confluence,17.56891004,58.71356687,1.981520992
2016,Confluence,16.69870134,59.11430289,1.131211029
2017,Confluence,16.25506406,61.52620193,0.389978784
2018,Confluence,16.50629242,79.9043418,0.920808763
2019,Confluence,16.29715442,75.71501379,0.565319373
2020,Confluence,17.06351487,82.17896075,2.112312443
2021,Confluence,NA,NA,NA
1975,North,14.04166667,48.45833333,0.067509271
1976,North,15.92469172,77.23412692,0.075492486
1977,North,16.93886282,82.14486958,0.100349038
1978,North,15.72685195,48.30769229,0.072572779
1979,North,15.2908952,63.91666666,0.076462069
1980,North,15.06185198,69.72115381,0.073081647
1981,North,16.21464134,63.18229163,0.086167897
1982,North,14.04166667,54.125,0.063471283
1983,North,13.83333333,47.16666667,0.052079197
1984,North,14.5,60.5,0.0705775
1985,North,15.5,83.04166667,0.078546746
1986,North,15.58333333,63.83333333,0.075098803
1987,North,16.41666667,80,0.081722739
1988,North,16.66666667,93.95833333,0.086981928
1989,North,15.45833333,79.33333333,0.0779947
1990,North,16.28772307,102.1472223,0.077347723
1991,North,16.15833333,92.59791667,0.08893112
1992,North,16.99791667,98.05,0.087870726
1993,North,15.34166667,69.91666667,0.071173513
1994,North,16.00125,116.9,0.090219866
1995,North,14.21666667,62.49305556,0.056341766
1996,North,15.92708333,82.79166667,0.064842511
1997,North,16.32916667,66.1875,0.070913836
1998,North,14.37916667,59.83333333,0.063564881
1999,North,14.47458333,73.91666667,0.063087475
2000,North,15.14833333,96.64583333,0.069392019
2001,North,16.47083333,77.8125,0.088546031
2002,North,16.445,92.77083333,0.081008607
2003,North,16.30125,98.61875,0.070258129
2004,North,16.30416667,90.05833333,0.074364619
2005,North,16.02083333,75.83333333,0.081321581
2006,North,15.66666667,74.06944444,0.066303169
2007,North,16.36666667,109.5208333,0.078789319
2008,North,16.68125,98.04166667,0.089676255
2009,North,16.41666667,121.0833333,0.075641779
2010,North,15.37083333,95.95833333,0.076968856
2011,North,14.65625,86.66666667,0.062226142
2012,North,15.97375,115.1041667,0.073895372
2013,North,16.885625,120.0902778,0.07354808
2014,North,16.828125,139.6458333,0.085695226
2015,North,17.96458333,158.8958333,0.081228392
2016,North,16.09916667,150.6736111,0.077399752
2017,North,14.71979167,NA,0.064649665
2018,North,15.60666667,NA,0.073635268
2019,North,14.96395833,NA,0.062320737
2020,North,15.89645833,NA,0.08007866
2021,North,NA,NA,NA
1975,SouthCentral,15.41450914,43.37119408,0.14431973
1976,SouthCentral,16.93133568,51.30106265,0.207028908
1977,SouthCentral,17.24622031,48.69229637,0.393291851
1978,SouthCentral,17.11567077,40.34817055,0.174299752
1979,SouthCentral,16.80070833,43.1516369,0.161639199
1980,SouthCentral,16.45695615,43.44180779,0.128244776
1981,SouthCentral,17.89290849,52.86957458,0.20713503
1982,SouthCentral,16.24174258,48.89771811,0.132604871
1983,SouthCentral,15.97231888,42.85402878,0.100051004
1984,SouthCentral,16.8869,49.84861111,0.15463081
1985,SouthCentral,16.839561,66.03423203,0.206975864
1986,SouthCentral,16.82617105,52.10396064,0.168038067
1987,SouthCentral,17.60219421,67.41001401,0.240512365
1988,SouthCentral,17.62201951,66.19034781,0.294710402
1989,SouthCentral,17.17664,72.20590251,0.234128517
