"water_year","Acartia Adult","Acartiella sinensis Adult","Bosmina longirostris Adult","Daphnia Adult","Diaphanosoma Adult","Eurytemora affinis Adult","Eurytemora affinis Juvenile","Limnoithona tetraspina Adult","Neomysis mercedis Adult","Pseudodiaptomus forbesi Adult","Pseudodiaptomus Juvenile","Tortanus Adult","Hyperacanthomysis longirostris Adult","Neomysis kadiakensis Adult"
1972,1912.11694555556,NA,3689.31259722222,4617.75972222222,296.604791666667,9635.79647337963,NA,NA,14632.6757475868,NA,NA,NA,NA,NA
1973,967.524285555556,NA,2940.90569823232,7230.20197811448,223.341195286195,6179.55190614478,NA,NA,20085.5715314502,NA,NA,NA,NA,NA
1974,535.37806237037,NA,3218.04289015152,11776.8131430976,370.493348905724,8127.31351600379,NA,NA,18339.7754298165,NA,NA,NA,NA,NA
1975,381.834380666667,NA,3268.68346860269,8643.80590347924,171.497242564534,5189.35564598064,NA,NA,8869.3060988523,NA,NA,NA,NA,NA
1976,4337.21146611111,NA,5258.82556388889,10031.9035740741,84.6544305555556,2464.29022037037,NA,NA,12084.0245087104,NA,NA,NA,NA,NA
1977,11889.2272505556,NA,2424.00473611111,4614.45805555556,352.375416666667,1717.33181134259,NA,NA,1347.66839159085,NA,NA,NA,NA,NA
1978,1616.42458018519,NA,1036.60813068182,3885.43713383838,175.712117003367,6313.34762231692,NA,NA,9926.21751395947,NA,NA,NA,NA,NA
1979,2126.95951382155,NA,1531.76833440726,4680.09394124394,176.832452020202,3957.1997350055,NA,0.239935694444444,6997.41365185886,NA,NA,NA,NA,NA
1980,942.162799851852,NA,987.734134848485,2085.39512289562,112.877009259259,3000.91338550084,NA,115.973888009259,12126.2043486772,NA,NA,NA,NA,NA
1981,3289.46668728836,NA,1178.02224047619,1982.34143518519,267.469656084656,2871.00026934524,NA,362.189085796296,6325.28359855928,NA,NA,NA,NA,NA
1982,472.582469351852,NA,485.939519357032,231.56178049728,36.4935214322714,2259.50643556802,NA,115.43912735933,12450.8711584829,NA,NA,NA,NA,NA
1983,163.934800566138,NA,626.808109018759,139.455946127946,55.235579004329,650.177019612795,NA,227.776966212963,2975.1059663892,NA,NA,NA,NA,NA
1984,1202.07847156614,NA,1257.33951363636,1018.41986976912,125.82060503848,2514.94028815987,NA,259.22821123548,7947.23401863982,NA,NA,NA,NA,NA
1985,2897.64585230159,NA,3604.62031031746,2750.62328571429,267.380763888889,1448.19800922619,NA,219.240383819444,11258.0418719651,NA,NA,NA,NA,NA
1986,801.822120864197,NA,1539.5287540404,828.776589225589,190.517318783069,2811.86968587863,NA,35.3148694212963,20147.2254066156,NA,NA,NA,NA,NA
1987,1393.52960251852,NA,893.744991005291,1270.73981481481,112.637695987654,1689.382397597,NA,311.246074641204,6554.4611938247,NA,NA,NA,NA,NA
1988,212.463908333333,NA,1662.28276765873,2841.42078703704,127.234543981481,2130.53426795635,NA,320.680649284722,4263.06212393464,1022.64139279034,NA,NA,NA,NA
1989,319.628341777778,NA,1050.31493055556,2319.12851851852,134.406550925926,582.888519212963,465.360218194444,164.75019225,4639.69640052519,5056.34361487037,NA,NA,NA,NA
1990,225.891891647908,NA,648.047398148148,1447.32694444444,154.053999017957,522.883038900914,613.396873215939,140.965328950617,2633.54894248296,3743.2614616455,2118.38964308337,NA,NA,NA
1991,559.894146723005,NA,1036.42863209013,1541.04819217819,166.958213923422,309.621457152994,561.021253730159,166.530510188908,4234.80200280793,3065.49287405971,1750.86899932678,NA,NA,NA
1992,1066.605809,NA,2438.49278796296,3019.04883333333,447.333760802469,346.893180555556,202.51365074537,172.810422037037,910.151252857243,3755.42430113889,3669.50398601852,NA,NA,NA
1993,173.213201222222,NA,439.880663299663,1994.34665123457,154.075570286195,325.447852430556,232.825544791667,227.629671791667,2422.85889569847,3915.03415752778,1954.59649301459,NA,449.569968774385,NA
1994,346.820925925926,611.342187962963,171.641805555556,4278.44888888889,373.242175925926,1209.05061805556,816.567979861111,1306.17438615741,298.762666572208,2118.3424512963,2528.97971851852,178.342402777778,943.682908807916,14.505437529908
