"Region","water_year","r_BPUE"
"Confluence",1972,22811.3372229023
"Confluence",1973,17505.101351037
"Confluence",1974,15180.2143785569
"Confluence",1975,5501.13237345271
"Confluence",1976,13153.7100155609
"Confluence",1977,6638.25444472481
"Confluence",1978,5845.99230765794
"Confluence",1979,4453.35690940595
"Confluence",1980,7992.27806624222
"Confluence",1981,8451.1329295604
"Confluence",1982,17361.0863462521
"Confluence",1983,1854.24918737912
"Confluence",1984,9910.20094217066
"Confluence",1985,11836.4996303875
"Confluence",1986,17086.7737537817
"Confluence",1987,4875.01698127904
"Confluence",1988,3916.71839717249
"Confluence",1989,3591.43196010148
"Confluence",1990,3179.18755380598
"Confluence",1991,3240.8647191632
"Confluence",1992,3824.81741727049
"Confluence",1993,3503.44145952366
"Confluence",1994,8179.37414373006
"Confluence",1995,5099.00559812742
"Confluence",1996,6281.58740978956
"Confluence",1997,7122.15651075341
"Confluence",1998,8002.07915500677
"Confluence",1999,7732.78314781749
"Confluence",2000,7494.90191668043
"Confluence",2001,6572.32349523309
"Confluence",2002,6753.61271597129
"Confluence",2003,5725.3157387613
"Confluence",2004,7904.30949646428
"Confluence",2005,6059.39112459197
"Confluence",2006,6409.47574761285
"Confluence",2007,5067.28437242617
"Confluence",2008,8709.78511990706
"Confluence",2009,5981.10848874735
"Confluence",2010,6686.51318176475
"Confluence",2011,5715.96204030979
"Confluence",2012,7536.04863304189
"Confluence",2013,8279.5681483989
"Confluence",2014,11168.1878587394
"Confluence",2015,11842.7280408633
"Confluence",2016,13686.9985761621
"Confluence",2017,15407.6949586593
"Confluence",2018,10272.1907370642
"Confluence",2019,8540.33589237249
"Confluence",2020,9337.74190280154
"SouthCentral",1972,26134.2631908278
"SouthCentral",1973,15559.4132420078
"SouthCentral",1974,12251.310029233
"SouthCentral",1975,13882.3643874389
"SouthCentral",1976,16731.91347174
"SouthCentral",1977,9436.06971091104
"SouthCentral",1978,7598.51190663922
"SouthCentral",1979,7790.50874362939
"SouthCentral",1980,3670.67309411362
"SouthCentral",1981,5749.54083957146
"SouthCentral",1982,2103.26430530629
"SouthCentral",1983,433.521915929217
"SouthCentral",1984,5287.2782768653
