"water_year","Long_term","Season","s_BPUE"
1972,TRUE,"Fall",20664.0656570798
1972,TRUE,"Spring",24610.8487113823
1972,TRUE,"Summer",19623.0669530693
1973,TRUE,"Fall",22511.7872826582
1973,TRUE,"Spring",32403.787973275
1973,TRUE,"Summer",21042.4438911278
1974,TRUE,"Fall",16503.1152477146
1974,TRUE,"Spring",22873.8098948992
1974,TRUE,"Summer",30966.0515518651
1975,TRUE,"Fall",11106.7488599789
1975,TRUE,"Spring",8962.52918507351
1975,TRUE,"Summer",19996.1584821607
1976,TRUE,"Fall",7607.91526472594
1976,TRUE,"Spring",27640.7159907992
1976,TRUE,"Summer",18370.3366026623
1977,TRUE,"Fall",10607.2915335011
1977,TRUE,"Spring",5176.62119209523
1977,TRUE,"Summer",7438.46924107343
1978,TRUE,"Fall",9761.83549908549
1978,TRUE,"Spring",13830.5373593805
1978,TRUE,"Summer",18568.2292874398
1979,TRUE,"Fall",7575.32843309204
1979,TRUE,"Spring",11744.0455314934
1979,TRUE,"Summer",11674.4449781348
1980,TRUE,"Fall",10981.4767035448
1980,TRUE,"Spring",17753.657257416
1980,TRUE,"Summer",13596.6996354879
1981,TRUE,"Fall",4868.16963026787
1981,TRUE,"Spring",11876.9747665841
1981,TRUE,"Summer",10659.0396804473
1982,TRUE,"Fall",6966.00985604888
1982,TRUE,"Spring",5565.44426227285
1982,TRUE,"Summer",27521.1803056836
1983,TRUE,"Fall",1709.7211676273
1983,TRUE,"Spring",3738.46259884607
1983,TRUE,"Summer",4954.91740780302
1984,TRUE,"Fall",3068.9099968122
1984,TRUE,"Spring",12240.8243421297
1984,TRUE,"Summer",14602.4033526346
1985,TRUE,"Fall",6357.49683438303
1985,TRUE,"Spring",13821.6359946174
1985,TRUE,"Summer",25180.1095842175
1986,TRUE,"Fall",5310.73007543326
1986,TRUE,"Spring",25431.4124618042
1986,TRUE,"Summer",35258.3245589366
1987,TRUE,"Fall",1964.69623520474
1987,TRUE,"Spring",17266.8513455783
1987,TRUE,"Summer",6357.66365618922
1988,TRUE,"Fall",3631.20413720831
1988,TRUE,"Spring",10238.3760255709
1988,TRUE,"Summer",8285.54048556351
1989,TRUE,"Fall",6974.44295417631
1989,TRUE,"Spring",9449.72451781274
1989,TRUE,"Summer",14167.0303307292
1990,TRUE,"Fall",8407.05387397574
1990,TRUE,"Spring",7343.04891562815
1990,TRUE,"Summer",6926.93165323444
1991,TRUE,"Fall",11016.5157403855
1991,TRUE,"Spring",7183.62464043725
1991,TRUE,"Summer",11186.8059684176
1992,TRUE,"Fall",15363.0714385822
1992,TRUE,"Spring",9363.49122715328
1992,TRUE,"Summer",4513.49810897745
1993,TRUE,"Fall",4293.32880541476
1993,TRUE,"Spring",5491.83469660863
