"water_year","Long_term","Region","Season","sr_BPUE"
1972,TRUE,"Confluence","Fall",18338.2612307458
1972,TRUE,"Confluence","Spring",20923.4499557708
1972,TRUE,"Confluence","Summer",29172.3004821905
1972,TRUE,"SouthCentral","Fall",19066.8646752262
1972,TRUE,"SouthCentral","Spring",41922.028079572
1972,TRUE,"SouthCentral","Summer",17413.8968176852
1972,TRUE,"Suisun Bay","Fall",15785.5128348837
1972,TRUE,"Suisun Bay","Spring",6670.18729509747
1972,TRUE,"Suisun Bay","Summer",7131.07910899028
1972,TRUE,"Suisun Marsh","Fall",29465.6238874637
1972,TRUE,"Suisun Marsh","Spring",28927.7295150888
1972,TRUE,"Suisun Marsh","Summer",24774.9914034112
1973,TRUE,"Confluence","Fall",17722.6606702885
1973,TRUE,"Confluence","Spring",18593.0701221882
1973,TRUE,"Confluence","Summer",16199.5732606345
1973,TRUE,"SouthCentral","Fall",17262.6010222172
1973,TRUE,"SouthCentral","Spring",15205.0323743997
1973,TRUE,"SouthCentral","Summer",14210.6063294064
1973,TRUE,"Suisun Bay","Fall",18133.1730075556
1973,TRUE,"Suisun Bay","Spring",53062.4812261366
1973,TRUE,"Suisun Bay","Summer",12309.659763072
1973,TRUE,"Suisun Marsh","Fall",36928.7144305714
1973,TRUE,"Suisun Marsh","Spring",42754.5681703755
1973,TRUE,"Suisun Marsh","Summer",41449.9362113981
1974,TRUE,"Confluence","Fall",8186.38365461469
1974,TRUE,"Confluence","Spring",15736.721129631
1974,TRUE,"Confluence","Summer",21617.538351425
1974,TRUE,"SouthCentral","Fall",20284.1102243562
1974,TRUE,"SouthCentral","Spring",6318.17624818312
1974,TRUE,"SouthCentral","Summer",10151.6436151596
1974,TRUE,"Suisun Bay","Fall",17110.6628704683
1974,TRUE,"Suisun Bay","Spring",41854.5450178262
1974,TRUE,"Suisun Bay","Summer",35967.8859362512
1974,TRUE,"Suisun Marsh","Fall",20431.3042414191
1974,TRUE,"Suisun Marsh","Spring",27585.7971839564
1974,TRUE,"Suisun Marsh","Summer",56127.1383046245
1975,TRUE,"Confluence","Fall",4736.71877234967
1975,TRUE,"Confluence","Spring",3147.78434534528
1975,TRUE,"Confluence","Summer",8618.8940026632
1975,TRUE,"SouthCentral","Fall",21498.910550774
1975,TRUE,"SouthCentral","Spring",1967.47258071051
1975,TRUE,"SouthCentral","Summer",18180.7100308322
1975,TRUE,"Suisun Bay","Fall",7279.18747426285
1975,TRUE,"Suisun Bay","Spring",14509.068429434
1975,TRUE,"Suisun Bay","Summer",30224.5974325887
1975,TRUE,"Suisun Marsh","Fall",10912.1786425291
1975,TRUE,"Suisun Marsh","Spring",16225.7913848043
1975,TRUE,"Suisun Marsh","Summer",22960.4324625587
1976,TRUE,"Confluence","Fall",3372.15618188417
1976,TRUE,"Confluence","Spring",23302.2017902758
1976,TRUE,"Confluence","Summer",12786.7720745227
1976,TRUE,"SouthCentral","Fall",19101.4652948278
1976,TRUE,"SouthCentral","Spring",25408.7457377176
1976,TRUE,"SouthCentral","Summer",5685.52938267468
1976,TRUE,"Suisun Bay","Fall",2176.80286089987
1976,TRUE,"Suisun Bay","Spring",9515.9119093577
1976,TRUE,"Suisun Bay","Summer",8191.24175516187
1976,TRUE,"Suisun Marsh","Fall",5781.23672129189
1976,TRUE,"Suisun Marsh","Spring",52336.0045258458
1976,TRUE,"Suisun Marsh","Summer",46817.80319829
1977,TRUE,"Confluence","Fall",4924.51746988361
1977,TRUE,"Confluence","Spring",6664.43049697385
1977,TRUE,"Confluence","Summer",8325.81536731696
1977,TRUE,"SouthCentral","Fall",17074.1314280418
1977,TRUE,"SouthCentral","Spring",7114.24874626184
1977,TRUE,"SouthCentral","Summer",4119.82895842947
1977,TRUE,"Suisun Bay","Fall",6188.87036596728
1977,TRUE,"Suisun Bay","Spring",2719.9176049229
1977,TRUE,"Suisun Bay","Summer",4963.19230885692
1977,TRUE,"Suisun Marsh","Fall",14241.6468701116
1977,TRUE,"Suisun Marsh","Spring",4207.88792022232
1977,TRUE,"Suisun Marsh","Summer",12345.0403296904
1978,TRUE,"Confluence","Fall",4492.84012103012
1978,TRUE,"Confluence","Spring",2183.04304873942
1978,TRUE,"Confluence","Summer",10862.0937532043
1978,TRUE,"SouthCentral","Fall",15049.0168388198
1978,TRUE,"SouthCentral","Spring",783.925317039724
1978,TRUE,"SouthCentral","Summer",6962.59356405811
1978,TRUE,"Suisun Bay","Fall",5352.15978105721
1978,TRUE,"Suisun Bay","Spring",25612.130608177
1978,TRUE,"Suisun Bay","Summer",8964.74739498146
1978,TRUE,"Suisun Marsh","Fall",14153.3252554348
1978,TRUE,"Suisun Marsh","Spring",26743.0504635657
1978,TRUE,"Suisun Marsh","Summer",47483.4824375152
1979,TRUE,"Confluence","Fall",3084.5343624718
1979,TRUE,"Confluence","Spring",3333.04195843835
1979,TRUE,"Confluence","Summer",6942.49440730772
1979,TRUE,"SouthCentral","Fall",12882.4288241935
1979,TRUE,"SouthCentral","Spring",6943.22292334943
1979,TRUE,"SouthCentral","Summer",3545.87448334522
1979,TRUE,"Suisun Bay","Fall",4262.32028225629
1979,TRUE,"Suisun Bay","Spring",11538.0567677343
1979,TRUE,"Suisun Bay","Summer",8012.41728361257
1979,TRUE,"Suisun Marsh","Fall",10072.0302634465
1979,TRUE,"Suisun Marsh","Spring",25161.8604764516
1979,TRUE,"Suisun Marsh","Summer",28196.9937382738
1980,TRUE,"Confluence","Fall",13016.2380483695
1980,TRUE,"Confluence","Spring",5969.17497788272
1980,TRUE,"Confluence","Summer",4991.42117247443
1980,TRUE,"SouthCentral","Fall",6119.05140624635
1980,TRUE,"SouthCentral","Spring",1088.84846604167
1980,TRUE,"SouthCentral","Summer",3804.11941005284
1980,TRUE,"Suisun Bay","Fall",6904.01102955538
1980,TRUE,"Suisun Bay","Spring",37993.2341725116
1980,TRUE,"Suisun Bay","Summer",12665.0795616875
1980,TRUE,"Suisun Marsh","Fall",17886.606330008
1980,TRUE,"Suisun Marsh","Spring",25963.3714132281
1980,TRUE,"Suisun Marsh","Summer",32926.1783977367
1981,TRUE,"Confluence","Fall",2083.17579396112
1981,TRUE,"Confluence","Spring",9687.89328957334
1981,TRUE,"Confluence","Summer",13582.3297051467
1981,TRUE,"SouthCentral","Fall",4932.16635541637
1981,TRUE,"SouthCentral","Spring",7384.96887350375
1981,TRUE,"SouthCentral","Summer",4931.48728979427
1981,TRUE,"Suisun Bay","Fall",3674.31794402201
1981,TRUE,"Suisun Bay","Spring",8331.58582773878
1981,TRUE,"Suisun Bay","Summer",7482.40810425745
1981,TRUE,"Suisun Marsh","Fall",8783.01842767198
1981,TRUE,"Suisun Marsh","Spring",22103.4510755207
1981,TRUE,"Suisun Marsh","Summer",16639.9336225909
1982,TRUE,"Confluence","Fall",7642.02298698328
1982,TRUE,"Confluence","Spring",670.783136623345
1982,TRUE,"Confluence","Summer",43770.4529151495
1982,TRUE,"SouthCentral","Fall",1190.85316241831
1982,TRUE,"SouthCentral","Spring",214.070292598628
1982,TRUE,"SouthCentral","Summer",4904.86946090192
1982,TRUE,"Suisun Bay","Fall",6371.95532424824
1982,TRUE,"Suisun Bay","Spring",8949.10647359781
1982,TRUE,"Suisun Bay","Summer",44652.8025886014
1982,TRUE,"Suisun Marsh","Fall",12659.2079505457
1982,TRUE,"Suisun Marsh","Spring",12427.8171462716
1982,TRUE,"Suisun Marsh","Summer",16756.5962580816
1983,TRUE,"Confluence","Fall",608.875983648041
1983,TRUE,"Confluence","Spring",588.949905835125
1983,TRUE,"Confluence","Summer",4364.92167265419
1983,TRUE,"SouthCentral","Fall",271.27038887081
1983,TRUE,"SouthCentral","Spring",82.3652530518073
1983,TRUE,"SouthCentral","Summer",946.930105865032
1983,TRUE,"Suisun Bay","Fall",2680.69306207259
1983,TRUE,"Suisun Bay","Spring",2804.64648833885
1983,TRUE,"Suisun Bay","Summer",10348.5210001956
1983,TRUE,"Suisun Marsh","Fall",3278.04523591776
1983,TRUE,"Suisun Marsh","Spring",11477.8887481585
1983,TRUE,"Suisun Marsh","Summer",4159.29685249728
1984,TRUE,"Confluence","Fall",2144.1610147651
1984,TRUE,"Confluence","Spring",8460.15817207007
1984,TRUE,"Confluence","Summer",19126.2836396768
1984,TRUE,"SouthCentral","Fall",3217.89718763413
1984,TRUE,"SouthCentral","Spring",3991.58433056777
1984,TRUE,"SouthCentral","Summer",8652.35331239401
1984,TRUE,"Suisun Bay","Fall",1729.62363175352
1984,TRUE,"Suisun Bay","Spring",20463.7099032348
1984,TRUE,"Suisun Bay","Summer",10413.4028500449
1984,TRUE,"Suisun Marsh","Fall",5183.95815309604
1984,TRUE,"Suisun Marsh","Spring",16047.844962646
1984,TRUE,"Suisun Marsh","Summer",20217.5736084225
1985,TRUE,"Confluence","Fall",3595.8719991327
1985,TRUE,"Confluence","Spring",17191.9541934664
1985,TRUE,"Confluence","Summer",14721.6726985634
1985,TRUE,"SouthCentral","Fall",8571.34473394439
1985,TRUE,"SouthCentral","Spring",8278.23532332689
1985,TRUE,"SouthCentral","Summer",11769.31566725
1985,TRUE,"Suisun Bay","Fall",4882.0397827116
1985,TRUE,"Suisun Bay","Spring",9458.46540630814
1985,TRUE,"Suisun Bay","Summer",10987.4026705898
1985,TRUE,"Suisun Marsh","Fall",8380.73082174345
1985,TRUE,"Suisun Marsh","Spring",20357.8890553681
1985,TRUE,"Suisun Marsh","Summer",63242.047300467
1986,TRUE,"Confluence","Fall",2410.775764924
1986,TRUE,"Confluence","Spring",6093.75666220642
1986,TRUE,"Confluence","Summer",42755.7888342147
1986,TRUE,"SouthCentral","Fall",2562.17720523587
1986,TRUE,"SouthCentral","Spring",612.733352540164
1986,TRUE,"SouthCentral","Summer",8414.11062790795
1986,TRUE,"Suisun Bay","Fall",3796.6711224176
1986,TRUE,"Suisun Bay","Spring",49480.4865737113
1986,TRUE,"Suisun Bay","Summer",27624.5528129911
1986,TRUE,"Suisun Marsh","Fall",12473.2962091556
1986,TRUE,"Suisun Marsh","Spring",45538.6732587591
1986,TRUE,"Suisun Marsh","Summer",62238.8459606327
1987,TRUE,"Confluence","Fall",1265.24629686397
1987,TRUE,"Confluence","Spring",9158.20969197817
1987,TRUE,"Confluence","Summer",4201.59495499497
1987,TRUE,"SouthCentral","Fall",3686.67594069931
1987,TRUE,"SouthCentral","Spring",5529.36914368345
1987,TRUE,"SouthCentral","Summer",4915.12441446548
1987,TRUE,"Suisun Bay","Fall",203.461982432825
1987,TRUE,"Suisun Bay","Spring",9512.51158917765
1987,TRUE,"Suisun Bay","Summer",2942.11109151228
1987,TRUE,"Suisun Marsh","Fall",2703.40072082287
1987,TRUE,"Suisun Marsh","Spring",44867.314957474
1987,TRUE,"Suisun Marsh","Summer",13371.8241637841
1988,TRUE,"Confluence","Fall",1761.71779751286
1988,TRUE,"Confluence","Spring",3410.1012120758
1988,TRUE,"Confluence","Summer",6578.3361819288
1988,TRUE,"SouthCentral","Fall",11222.3097633887
1988,TRUE,"SouthCentral","Spring",16390.9534361979
1988,TRUE,"SouthCentral","Summer",8046.34761139557
1988,TRUE,"Suisun Bay","Fall",305.115969548051
1988,TRUE,"Suisun Bay","Spring",2951.56519624027
1988,TRUE,"Suisun Bay","Summer",1458.73314002292
1988,TRUE,"Suisun Marsh","Fall",1235.67301838365
1988,TRUE,"Suisun Marsh","Spring",18200.8842577696
1988,TRUE,"Suisun Marsh","Summer",17058.7450089067
1989,TRUE,"Confluence","Fall",2895.56085160493
1989,TRUE,"Confluence","Spring",1587.17535940378
1989,TRUE,"Confluence","Summer",6291.55966929573
1989,TRUE,"SouthCentral","Fall",13460.9779798274
1989,TRUE,"SouthCentral","Spring",23623.1611659966
1989,TRUE,"SouthCentral","Summer",9205.18895107828
1989,TRUE,"Suisun Bay","Fall",367.547304720823
1989,TRUE,"Suisun Bay","Spring",3531.0629664815
1989,TRUE,"Suisun Bay","Summer",2277.20945112071
1989,TRUE,"Suisun Marsh","Fall",11173.6856805521
1989,TRUE,"Suisun Marsh","Spring",9057.49857936908
1989,TRUE,"Suisun Marsh","Summer",38894.1632514219
1990,TRUE,"Confluence","Fall",3429.0749320887
1990,TRUE,"Confluence","Spring",1383.42691180933
1990,TRUE,"Confluence","Summer",4725.06081751992
1990,TRUE,"SouthCentral","Fall",22819.7794733333
1990,TRUE,"SouthCentral","Spring",8707.9792071139
1990,TRUE,"SouthCentral","Summer",8644.3985775359
1990,TRUE,"Suisun Bay","Fall",521.529235593436
1990,TRUE,"Suisun Bay","Spring",1175.04138016856
1990,TRUE,"Suisun Bay","Summer",1001.52411538287
1990,TRUE,"Suisun Marsh","Fall",6857.83185488748
1990,TRUE,"Suisun Marsh","Spring",18105.7481634208
1990,TRUE,"Suisun Marsh","Summer",13336.7431024991
1991,TRUE,"Confluence","Fall",3188.21098746386
1991,TRUE,"Confluence","Spring",953.564501288358
1991,TRUE,"Confluence","Summer",5580.81866873739
1991,TRUE,"SouthCentral","Fall",35793.7934214647
1991,TRUE,"SouthCentral","Spring",3545.16405444706
1991,TRUE,"SouthCentral","Summer",11190.8618399389
1991,TRUE,"Suisun Bay","Fall",484.277247510868
1991,TRUE,"Suisun Bay","Spring",1878.63434095928
1991,TRUE,"Suisun Bay","Summer",2469.49046359559
1991,TRUE,"Suisun Marsh","Fall",4599.78130510254
1991,TRUE,"Suisun Marsh","Spring",22357.1356650543
1991,TRUE,"Suisun Marsh","Summer",25506.0529013985
1992,TRUE,"Confluence","Fall",3585.88792743082
1992,TRUE,"Confluence","Spring",3821.19409136991
1992,TRUE,"Confluence","Summer",4067.37023301075
1992,TRUE,"SouthCentral","Fall",55954.3198518851
1992,TRUE,"SouthCentral","Spring",19768.0092259551
1992,TRUE,"SouthCentral","Summer",9661.72939249644
1992,TRUE,"Suisun Bay","Fall",649.782340803199
1992,TRUE,"Suisun Bay","Spring",5215.55592717519
1992,TRUE,"Suisun Bay","Summer",1542.31962101878
1992,TRUE,"Suisun Marsh","Fall",1262.29563420979
1992,TRUE,"Suisun Marsh","Spring",8649.20566411288
1992,TRUE,"Suisun Marsh","Summer",2782.57318938384
1993,TRUE,"Confluence","Fall",2587.71987493033
1993,TRUE,"Confluence","Spring",2149.95518520049
1993,TRUE,"Confluence","Summer",5772.64931844015
1993,TRUE,"SouthCentral","Fall",9598.43118617705
1993,TRUE,"SouthCentral","Spring",5485.26690285901
1993,TRUE,"SouthCentral","Summer",14909.4143556971
1993,TRUE,"Suisun Bay","Fall",513.034169388016
1993,TRUE,"Suisun Bay","Spring",7025.4132493385
1993,TRUE,"Suisun Bay","Summer",13794.938327597
1993,TRUE,"Suisun Marsh","Fall",4474.12999116364
1993,TRUE,"Suisun Marsh","Spring",7306.70344903654
1993,TRUE,"Suisun Marsh","Summer",9375.82687667646
1994,TRUE,"Confluence","Fall",7606.97977397413
1994,TRUE,"Confluence","Spring",4700.82001077298
1994,TRUE,"Confluence","Summer",12230.3226464431
1994,TRUE,"SouthCentral","Fall",22830.8892135333
1994,TRUE,"SouthCentral","Spring",66663.9848090718
1994,TRUE,"SouthCentral","Summer",30520.5261937008
1994,TRUE,"Suisun Bay","Fall",3134.7390618714
1994,TRUE,"Suisun Bay","Spring",4294.70674286242
1994,TRUE,"Suisun Bay","Summer",6484.07025310106
1994,TRUE,"Suisun Marsh","Fall",2835.8798865999
1994,TRUE,"Suisun Marsh","Spring",1470.36620956434
1994,TRUE,"Suisun Marsh","Summer",6336.72737776201
1995,TRUE,"Confluence","Fall",5968.26902318468
1995,TRUE,"Confluence","Spring",1356.04353536836
1995,TRUE,"Confluence","Summer",7972.70423582924
1995,TRUE,"SouthCentral","Fall",3780.19519628955
1995,TRUE,"SouthCentral","Spring",1652.71393
1995,TRUE,"SouthCentral","Summer",10018.5765957964
1995,TRUE,"Suisun Bay","Fall",3887.44480397082
1995,TRUE,"Suisun Bay","Spring",5801.2050828351
1995,TRUE,"Suisun Bay","Summer",12776.0700186473
1995,TRUE,"Suisun Marsh","Fall",5340.85104342938
1995,TRUE,"Suisun Marsh","Spring",2429.3920453154
1995,TRUE,"Suisun Marsh","Summer",8491.41408239304
1996,TRUE,"Confluence","Fall",5627.89274435138
1996,TRUE,"Confluence","Spring",4912.50239104978
1996,TRUE,"Confluence","Summer",8304.36709396751
1996,TRUE,"SouthCentral","Fall",1610.94459612076
1996,TRUE,"SouthCentral","Spring",3307.0587341974
1996,TRUE,"SouthCentral","Summer",17865.3264024286
1996,TRUE,"Suisun Bay","Fall",5091.7011489265
1996,TRUE,"Suisun Bay","Spring",5099.27646778244
1996,TRUE,"Suisun Bay","Summer",5071.8923166005
1996,TRUE,"Suisun Marsh","Fall",1374.73312878568
1996,TRUE,"Suisun Marsh","Spring",3981.53446882877
1996,TRUE,"Suisun Marsh","Summer",8048.36821774927
1997,TRUE,"Confluence","Fall",10062.3344456551
1997,TRUE,"Confluence","Spring",3584.46952449927
1997,TRUE,"Confluence","Summer",7719.66556210582
1997,TRUE,"SouthCentral","Fall",26482.4581516078
1997,TRUE,"SouthCentral","Spring",4507.49962
1997,TRUE,"SouthCentral","Summer",37893.418990575
1997,TRUE,"Suisun Bay","Fall",6711.96892969083
1997,TRUE,"Suisun Bay","Spring",5755.44530985452
1997,TRUE,"Suisun Bay","Summer",7843.97284802477
1997,TRUE,"Suisun Marsh","Fall",6841.03084653497
1997,TRUE,"Suisun Marsh","Spring",2444.51340676109
1997,TRUE,"Suisun Marsh","Summer",10856.9882105134
1998,TRUE,"Confluence","Fall",8037.80560018747
1998,TRUE,"Confluence","Spring",2209.57062581181
1998,TRUE,"Confluence","Summer",13758.861239021
1998,TRUE,"SouthCentral","Fall",11433.9674865934
1998,TRUE,"SouthCentral","Spring",2197.29842770725
1998,TRUE,"SouthCentral","Summer",8920.15590482495
1998,TRUE,"Suisun Bay","Fall",6916.18457049714
1998,TRUE,"Suisun Bay","Spring",12003.1193587152
1998,TRUE,"Suisun Bay","Summer",10631.6900137795
1998,TRUE,"Suisun Marsh","Fall",13016.4681561103
1998,TRUE,"Suisun Marsh","Spring",6146.64517092716
1998,TRUE,"Suisun Marsh","Summer",12992.14966702
1999,TRUE,"Confluence","Fall",9793.08290386628
1999,TRUE,"Confluence","Spring",3451.05503830362
1999,TRUE,"Confluence","Summer",9954.21150128257
1999,TRUE,"SouthCentral","Fall",11334.9487113845
1999,TRUE,"SouthCentral","Spring",2840.97378590641
1999,TRUE,"SouthCentral","Summer",16302.2455730288
1999,TRUE,"Suisun Bay","Fall",9248.37435261538
1999,TRUE,"Suisun Bay","Spring",10331.3097863905
1999,TRUE,"Suisun Bay","Summer",9552.68848041511
1999,TRUE,"Suisun Marsh","Fall",10854.7002021612
1999,TRUE,"Suisun Marsh","Spring",2581.77537757201
1999,TRUE,"Suisun Marsh","Summer",28388.3060228073
2000,TRUE,"Confluence","Fall",10574.7455460084
2000,TRUE,"Confluence","Spring",2982.0162757385
2000,TRUE,"Confluence","Summer",8927.94392829442
2000,TRUE,"SouthCentral","Fall",19244.0559033256
2000,TRUE,"SouthCentral","Spring",5656.77711852841
2000,TRUE,"SouthCentral","Summer",45503.0040282956
2000,TRUE,"Suisun Bay","Fall",5850.93245696026
2000,TRUE,"Suisun Bay","Spring",21278.6983514128
2000,TRUE,"Suisun Bay","Summer",7888.46686341984
2000,TRUE,"Suisun Marsh","Fall",7301.29747046942
2000,TRUE,"Suisun Marsh","Spring",4708.40631482538
2000,TRUE,"Suisun Marsh","Summer",25376.598201794
2001,TRUE,"Confluence","Fall",8262.04672522718
2001,TRUE,"Confluence","Spring",3305.06916072878
2001,TRUE,"Confluence","Summer",8149.8545997433
2001,TRUE,"SouthCentral","Fall",6288.51585547401
2001,TRUE,"SouthCentral","Spring",11981.7000568596
2001,TRUE,"SouthCentral","Summer",12350.0947317083
2001,TRUE,"Suisun Bay","Fall",3389.39888612458
2001,TRUE,"Suisun Bay","Spring",6134.73485193033
2001,TRUE,"Suisun Bay","Summer",4044.72201234943
2001,TRUE,"Suisun Marsh","Fall",5768.63090126193
2001,TRUE,"Suisun Marsh","Spring",3026.6488693362
2001,TRUE,"Suisun Marsh","Summer",4878.12479428497
2002,TRUE,"Confluence","Fall",9434.39971628074
2002,TRUE,"Confluence","Spring",2448.33463792771
2002,TRUE,"Confluence","Summer",8378.10379370543
2002,TRUE,"SouthCentral","Fall",18365.9368181727
2002,TRUE,"SouthCentral","Spring",14032.7286452605
2002,TRUE,"SouthCentral","Summer",45403.604262663
2002,TRUE,"Suisun Bay","Fall",7321.30439102082
2002,TRUE,"Suisun Bay","Spring",8416.91883614295
2002,TRUE,"Suisun Bay","Summer",8046.2945722481
2002,TRUE,"Suisun Marsh","Fall",9982.08725529605
2002,TRUE,"Suisun Marsh","Spring",3809.62951952384
2002,TRUE,"Suisun Marsh","Summer",9301.43841453119
2003,TRUE,"Confluence","Fall",8493.80532018375
2003,TRUE,"Confluence","Spring",1692.53200508219
2003,TRUE,"Confluence","Summer",6989.60989101796
2003,TRUE,"SouthCentral","Fall",21963.7921955789
2003,TRUE,"SouthCentral","Spring",9126.11954807984
2003,TRUE,"SouthCentral","Summer",24549.0596075116
2003,TRUE,"Suisun Bay","Fall",4828.58846734545
2003,TRUE,"Suisun Bay","Spring",16621.085866412
2003,TRUE,"Suisun Bay","Summer",9338.75101000869
2003,TRUE,"Suisun Marsh","Fall",4602.1401716017
2003,TRUE,"Suisun Marsh","Spring",2113.45582871222
2003,TRUE,"Suisun Marsh","Summer",10409.3230993596
2004,TRUE,"Confluence","Fall",8640.01630512857
