"water_year","y_BPUE"
1972,21632.6604405105
1973,25319.339715687
1974,23447.6588981596
1975,13355.145509071
1976,17872.9892860625
1977,7740.79398888991
1978,14053.5340486352
1979,10331.2729809068
1980,14110.6111988162
1981,9134.72802576645
1982,13350.8781413351
1983,3467.70039142546
1984,9970.71256385881
1985,15119.7474710727
1986,22000.1556987247
1987,8529.73707899076
1988,7385.04021611424
1989,10197.0659342394
1990,7559.01148094611
1991,9795.64878308011
1992,9746.68692490432
1993,6916.12357387536
1994,14092.5010149381
1995,5789.57329942161
1996,5857.96647589905
1997,10891.9804871519
1998,9021.99301843292
1999,10386.1393113111
2000,13774.4118715894
2001,6464.96178708572
2002,12078.3984052311
2003,10060.6885842412
2004,10750.9907118294
2005,7896.30565060744
2006,7923.94726298725
2007,12180.8604310998
2008,12496.4121980682
2009,8633.87343428006
2010,7816.36983501696
2011,5610.27676616613
2012,8477.32991001096
2013,9313.56055887588
2014,9828.65685966315
2015,12570.4542069418
2016,17873.7054821505
2017,21810.3215201019
2018,13702.4123955917
2019,11073.2902805506
2020,11231.065407045
